customer_id,first_name,last_name,country,city,email,signup_date,loyalty_status,age
CUST_1001,Gabriel,Simon,France,Marseille,gabriel.simon@gmail.com,10/5/2022,Silver,55
CUST_1002,Hannah,Schneider,Germany,Berlin,,1/13/2025,Gold,70
CUST_1003,Jules,Martin,France,Lille,jules.martin@yahoo.com,9/8/2022,None,65
CUST_1004,Jules,Michel,France,Marseille,jules.michel@icloud.com,10/19/2024,,34
CUST_1005,Emma,Mertens,Luxembourg,Luxembourg City,emma.mertens@yahoo.com,9/2/2024,None,51
CUST_1006,Anna,Visser,Netherlands,Rotterdam,anna.visser@gmail.com,7/11/2021,Platinum,38
CUST_1007,Sophie,Jansen,Netherlands,Amsterdam,sophie.jansen@gmail.com,5/30/2021,,63
CUST_1008,Lucas,van den Berg,Netherlands,The Hague,lucas.vandenberg@outlook.com,10/29/2025,None,29
CUST_1009,Liam,Visser,Netherlands,Eindhoven,liam.visserhotmail.com,7/24/2023,,52
CUST_1010,Gabriel,Michel,Luxembourg,Esch-sur-Alzette,gabriel.michel@icloud.com,1/28/2024,None,33
CUST_1011,Leon,Wagner,Germany,Munich,leon.wagner@yahoo.com,7/17/2022,Platinum,68
CUST_1012,Noah,de Vries,Netherlands,Utrecht,noah.devries@icloud.com,11/9/2021,None,27
CUST_1013,Mia,Weber,Germany,Frankfurt,mia.weberhotmail.com,4/26/2025,Silver,67
CUST_1014,Arthur,Martin,Luxembourg,Luxembourg City,arthur.martin@yahoo.com,9/8/2025,,70
CUST_1015,Lars,Martin,Luxembourg,Luxembourg City,LARS.MARTIN@YAHOO.COM,10/22/2024,Gold,69
CUST_1016,Paul,Weber,Germany,Cologne,paul.weber@gmail.com,6/21/2021,None,31
CUST_1017,Daan,de Vries,Netherlands,The Hague,daan.devries@yahoo.com,2/16/2023,Platinum,49
CUST_1018,Lars,Janssens,Belgium,Liège,lars.janssensicloud.com,5/21/2021,Silver,64
CUST_1019,Noah,Peeters,Belgium,Brussels,NOAH.PEETERS@ICLOUD.COM,3/1/2024,Platinum,52
CUST_1020,Gabriel,Simon,France,Nice,gabriel.simon@gmail.com,3/31/2024,Platinum,
CUST_1021,Arthur,Mertens,Luxembourg,Luxembourg City,arthur.mertens@gmail.com,11/28/2024,,66
CUST_1022,Sofie,Maes,Belgium,Leuven,SOFIE.MAES@HOTMAIL.COM,1/26/2021,Silver,54
CUST_1023,Mia,Meyer,Germany,Frankfurt,mia.meyer@outlook.com,7/8/2022,None,57
CUST_1024,Finn,Wagner,Germany,Stuttgart,finn.wagner@icloud.com,6/27/2021,Gold,51
CUST_1025,Finn,Schneider,Germany,Berlin,finn.schneider@hotmail.com,6/22/2025,,40
CUST_1026,Louis,Simon,France,Lyon,louis.simon@gmail.com,5/8/2022,None,64
CUST_1027,Ben,Müller,Germany,Hamburg,ben.müller@outlook.com,1/26/2023,Platinum,56
CUST_1028,Mia,Schneider,Germany,Stuttgart,mia.schneider@hotmail.com,1/30/2022,,70
CUST_1029,Sophie,Jansen,Netherlands,The Hague,sophie.jansen@yahoo.com,8/3/2022,Platinum,35
CUST_1030,Julia,Jansen,Netherlands,Utrecht,JULIA.JANSEN@GMAIL.COM,,Gold,41
CUST_1031,Emma,Wagner,Germany,Berlin,emma.wagner@icloud.com,4/16/2021,Silver,53
CUST_1032,Louise,Jacobs,Belgium,Brussels,LOUISE.JACOBS@ICLOUD.COM,2/27/2024,Gold,28
CUST_1033,Louise,Willems,Belgium,Leuven,louise.willems@icloud.com,6/26/2023,None,60
CUST_1034,Louis,Simon,France,Lille,louis.simon@gmail.com,9/14/2024,Gold,38
CUST_1035,Lucas,Maes,Luxembourg,Luxembourg City,lucas.maes@hotmail.com,4/20/2022,None,41
CUST_1036,Noah,Maes,Belgium,Liège,noah.maes@icloud.com,1/21/2024,Platinum,32
CUST_1037,Emma,de Jong,Netherlands,Rotterdam,emma.dejong@yahoo.com,6/19/2023,Platinum,67
CUST_1038,Leon,Weber,Germany,Cologne,leon.weber@hotmail.com,2/13/2025,Silver,39
CUST_1039,Noah,De Smet,Belgium,Leuven,noah.desmet@icloud.com,7/6/2022,None,34
CUST_1040,Jules,Willems,Luxembourg,Luxembourg City,jules.willems@icloud.com,8/21/2023,Platinum,44
CUST_1041,Lucas,Maes,Belgium,Bruges,lucas.maes@hotmail.com,2/1/2024,Platinum,28
CUST_1042,Alice,Martin,France,Toulouse,ALICE.MARTIN@ICLOUD.COM,8/5/2023,,35
CUST_1043,Chloé,Michel,France,Toulouse,chloé.michel@gmail.com,6/17/2023,Silver,54
CUST_1044,Noah,De Smet,Belgium,Antwerp,noah.desmet@yahoo.com,9/20/2025,Silver,52
CUST_1045,Anna,Visser,Netherlands,Utrecht,anna.visser@icloud.com,8/26/2023,Gold,58
CUST_1046,Hannah,Weber,Germany,Cologne,hannah.weber@outlook.com,4/30/2023,Platinum,55
CUST_1047,Marie,De Smet,Belgium,Ghent,marie.desmet@icloud.com,7/4/2023,Platinum,45
CUST_1048,Arthur,Martin,Luxembourg,Esch-sur-Alzette,arthur.martin@outlook.com,10/20/2025,Platinum,25
CUST_1049,Finn,Fischer,Germany,Stuttgart,FINN.FISCHER@OUTLOOK.COM,4/23/2024,None,29
CUST_1050,Lars,Janssens,Belgium,Liège,lars.janssens@outlook.com,8/20/2023,Platinum,39
CUST_1051,Arthur,Laurent,Luxembourg,Luxembourg City,arthur.laurent@yahoo.com,10/11/2022,,54
CUST_1052,Emma,Peeters,Belgium,Liège,emma.peeters@yahoo.com,7/21/2021,Silver,68
CUST_1053,Paul,Meyer,Germany,Hamburg,paul.meyergmail.com,2/7/2023,,38
CUST_1054,Paul,Schmidt,Germany,Munich,paul.schmidt@gmail.com,10/17/2023,Gold,32
CUST_1055,Leon,Fischer,Germany,Hamburg,leon.fischer@gmail.com,1/25/2024,Platinum,51
CUST_1056,Emma,Laurent,Luxembourg,Esch-sur-Alzette,emma.laurent@yahoo.com,10/14/2025,None,38
CUST_1057,Louise,Dubois,Luxembourg,Esch-sur-Alzette,,1/17/2021,Silver,66
CUST_1058,Chloé,Lefebvre,Luxembourg,Esch-sur-Alzette,chloé.lefebvre@outlook.com,6/25/2024,Gold,69
CUST_1059,Sofie,Maes,Belgium,Bruges,sofie.maes@gmail.com,8/28/2022,Gold,49
CUST_1060,Liam,Bakker,Netherlands,Utrecht,liam.bakker@icloud.com,8/16/2025,Platinum,41
CUST_1061,Lars,Janssens,Belgium,Antwerp,lars.janssens@outlook.com,9/29/2025,Silver,46
CUST_1062,Ben,Schneider,Germany,Cologne,ben.schneider@gmail.com,4/12/2024,Platinum,63
CUST_1063,Noah,Jacobs,Belgium,Brussels,noah.jacobs@icloud.com,3/30/2022,None,63
CUST_1064,Jules,Martin,France,Lyon,jules.martin@gmail.com,7/19/2021,Gold,57
CUST_1065,Sophia,Schneider,Germany,Stuttgart,sophia.schneider@icloud.com,4/30/2023,,54
CUST_1066,Leon,Müller,Germany,Stuttgart,leon.müller@yahoo.com,1/13/2023,Platinum,66
CUST_1067,Louise,Janssens,Luxembourg,Esch-sur-Alzette,LOUISE.JANSSENS@YAHOO.COM,7/21/2023,,36
CUST_1068,Sofie,Mertens,Belgium,Ghent,sofie.mertens@outlook.com,8/27/2025,,36
CUST_1069,Sophie,de Vries,Netherlands,Rotterdam,,9/24/2021,Silver,34
CUST_1070,Lucas,Janssens,Belgium,Ghent,LUCAS.JANSSENS@OUTLOOK.COM,9/17/2021,Silver,56
CUST_1071,Lars,Jacobs,Belgium,Ghent,lars.jacobs@icloud.com,6/13/2024,,65
CUST_1072,Chloé,Michel,France,Paris,chloé.michel@gmail.com,8/10/2021,Silver,51
CUST_1073,Thomas,Willems,Belgium,Antwerp,thomas.willems@gmail.com,12/29/2024,,61
CUST_1074,Chloé,Simon,France,Nice,chloé.simon@hotmail.com,8/26/2024,Gold,58
CUST_1075,Sophia,Schmidt,Germany,Frankfurt,sophia.schmidt@yahoo.com,10/3/2022,Platinum,65
CUST_1076,Gabriel,Michel,France,Toulouse,GABRIEL.MICHEL@GMAIL.COM,3/5/2025,,31
CUST_1077,Thomas,De Smet,Belgium,Brussels,thomas.desmet@hotmail.com,1/16/2025,,41
CUST_1078,Alice,Martin,France,Nice,alice.martin@icloud.com,8/10/2021,Platinum,58
CUST_1079,Marie,Willems,Belgium,Antwerp,marie.willems@hotmail.com,6/10/2024,Silver,58
CUST_1080,Louis,Janssens,Luxembourg,Luxembourg City,louis.janssens@yahoo.com,1/13/2021,,32
CUST_1081,Emma,Schmidt,Germany,Stuttgart,emma.schmidt@gmail.com,7/19/2023,Platinum,46
CUST_1082,Emma,Martin,France,Lyon,EMMA.MARTIN@OUTLOOK.COM,6/27/2023,,54
CUST_1083,Finn,Schneider,Germany,Munich,finn.schneider@icloud.com,10/21/2024,Platinum,56
CUST_1084,Noah,Jacobs,Belgium,Leuven,,10/9/2021,Platinum,41
CUST_1085,Sofie,Jacobs,Belgium,Liège,sofie.jacobs@hotmail.com,10/22/2023,Platinum,65
CUST_1086,Louise,Mertens,Belgium,Liège,louise.mertens@gmail.com,10/4/2022,None,59
CUST_1087,Leon,Müller,Germany,Frankfurt,leon.müller@gmail.com,8/1/2023,Silver,46
CUST_1088,Emma,Schmidt,Germany,Frankfurt,EMMA.SCHMIDT@ICLOUD.COM,3/8/2025,Gold,44
CUST_1089,Emma,Willems,Belgium,Leuven,emma.willems@outlook.com,8/5/2025,Gold,32
CUST_1090,Lucas,Maes,Belgium,Antwerp,lucas.maes@outlook.com,12/29/2021,None,63
CUST_1091,Sophia,Meyer,Germany,Cologne,sophia.meyer@icloud.com,6/20/2023,Platinum,51
CUST_1092,Louis,Dubois,France,Nice,louis.dubois@gmail.com,8/31/2025,Silver,64
CUST_1093,Arthur,Martin,Luxembourg,Luxembourg City,arthur.martin@hotmail.com,5/24/2024,Silver,32
CUST_1094,Emma,Wagner,Germany,Hamburg,emma.wagner@gmail.com,6/16/2023,,56
CUST_1095,Thomas,De Smet,Luxembourg,Esch-sur-Alzette,thomas.desmet@yahoo.com,4/18/2021,Platinum,64
CUST_1096,Thomas,Janssens,Belgium,Leuven,thomas.janssens@hotmail.com,5/19/2024,Silver,44
CUST_1097,Marie,De Smet,Luxembourg,Esch-sur-Alzette,marie.desmet@hotmail.com,2/19/2024,Gold,44
CUST_1098,Lucas,Laurent,Luxembourg,Esch-sur-Alzette,lucas.laurent@icloud.com,3/15/2022,Gold,54
CUST_1099,Liam,Jansen,Netherlands,Amsterdam,LIAM.JANSEN@YAHOO.COM,9/7/2025,Silver,56
CUST_1100,Gabriel,Simon,France,Toulouse,gabriel.simon@outlook.com,7/15/2025,None,69
CUST_1101,Louise,Maes,Belgium,Liège,louise.maes@outlook.com,5/25/2025,Gold,57
CUST_1102,Chloé,Lefebvre,France,Lyon,chloé.lefebvre@yahoo.com,4/25/2025,,47
CUST_1103,Alice,Maes,Luxembourg,Luxembourg City,alice.maes@icloud.com,1/31/2023,,29
CUST_1104,Marie,Janssens,Belgium,Antwerp,marie.janssens@yahoo.com,7/7/2021,None,37
CUST_1105,Louis,Laurent,France,Paris,louis.laurent@hotmail.com,2/7/2023,Silver,43
CUST_1106,Gabriel,Bernard,France,Paris,gabriel.bernard@yahoo.com,4/4/2025,,51
CUST_1107,Emma,Janssens,Belgium,Ghent,emma.janssens@outlook.com,12/17/2023,Gold,41
CUST_1108,Emma,Martin,France,Lyon,emma.martin@hotmail.com,9/10/2025,,61
CUST_1109,Noah,De Smet,Belgium,Antwerp,noah.desmet@yahoo.com,5/4/2023,Silver,65
CUST_1110,Louise,Peeters,Luxembourg,Luxembourg City,LOUISE.PEETERS@HOTMAIL.COM,2/4/2023,Platinum,24
CUST_1111,Thomas,Peeters,Belgium,Liège,thomas.peeters@gmail.com,4/1/2021,Gold,44
CUST_1112,Sophia,Meyer,Germany,Munich,sophia.meyeroutlook.com,8/24/2022,Silver,35
CUST_1113,Arthur,Simon,France,Toulouse,ARTHUR.SIMON@ICLOUD.COM,8/9/2022,Platinum,26
CUST_1114,Emma,Lefebvre,France,Marseille,emma.lefebvre@hotmail.com,3/3/2023,None,34
CUST_1115,Mia,Wagner,Germany,Cologne,mia.wagner@yahoo.com,5/18/2024,,34
CUST_1116,Alice,Martin,France,Paris,alice.martin@yahoo.com,5/23/2023,Platinum,51
CUST_1117,Ben,Meyer,Germany,Hamburg,ben.meyer@icloud.com,4/28/2021,None,63
CUST_1118,Gabriel,Martin,France,Lyon,gabriel.martin@icloud.com,4/29/2022,Platinum,46
CUST_1119,Ben,Weber,Germany,Munich,ben.weber@hotmail.com,3/21/2024,None,46
CUST_1120,Arthur,Bernard,France,Paris,arthur.bernard@gmail.com,2/25/2024,None,39
CUST_1121,Noah,Visser,Netherlands,The Hague,noah.visser@outlook.com,12/31/2024,Platinum,28
CUST_1122,Emma,Simon,France,Nice,emma.simon@yahoo.com,12/5/2024,,46
CUST_1123,Emma,Jansen,Netherlands,Rotterdam,EMMA.JANSEN@OUTLOOK.COM,1/26/2023,Gold,58
CUST_1124,Lucas,Peeters,Luxembourg,Esch-sur-Alzette,lucas.peeters@hotmail.com,4/25/2025,Silver,59
CUST_1125,Julia,Visser,Netherlands,Amsterdam,julia.visser@hotmail.com,8/25/2025,,63
CUST_1126,Liam,van den Berg,Netherlands,Eindhoven,liam.vandenberg@gmail.com,11/28/2021,Gold,68
CUST_1127,Arthur,Lefebvre,France,Paris,arthur.lefebvre@yahoo.com,7/4/2024,Silver,57
CUST_1128,Thomas,Dubois,Luxembourg,Luxembourg City,thomas.dubois@outlook.com,9/22/2025,Silver,25
CUST_1129,Sofie,De Smet,Belgium,Leuven,sofie.desmet@yahoo.com,8/1/2024,,63
CUST_1130,Arthur,Laurent,France,Lyon,ARTHUR.LAURENT@HOTMAIL.COM,6/20/2023,Gold,52
CUST_1131,Gabriel,Dubois,France,Lille,gabriel.dubois@yahoo.com,9/25/2021,,55
CUST_1132,Thomas,Peeters,Belgium,Bruges,thomas.peeters@gmail.com,8/18/2022,None,62
CUST_1133,Liam,de Vries,Netherlands,Eindhoven,liam.devries@yahoo.com,8/15/2023,None,42
CUST_1134,Emma,Jacobs,Belgium,Leuven,emma.jacobs@hotmail.com,4/14/2021,None,61
CUST_1135,Louis,Lefebvre,France,Paris,louis.lefebvre@hotmail.com,4/6/2023,Silver,48
CUST_1136,Louise,De Smet,Luxembourg,Esch-sur-Alzette,louise.desmet@gmail.com,8/18/2025,,66
CUST_1137,Lucas,Janssens,Belgium,Bruges,lucas.janssens@yahoo.com,3/27/2025,,61
